class,age,sex,survived,died
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,yes,No
first,adult,female,no,Yes
first,adult,female,no,Yes
first,adult,female,no,Yes
first,adult,female,no,Yes
first,child,male,yes,No
first,child,male,yes,No
first,child,male,yes,No
first,child,male,yes,No
first,child,male,yes,No
first,child,female,yes,No
second,adult,male,yes,No
second,adult,male,yes,No
second,adult,male,yes,No
second,adult,male,yes,No
second,adult,male,yes,No
second,adult,male,yes,No
second,adult,male,yes,No
second,adult,male,yes,No
second,adult,male,yes,No
second,adult,male,yes,No
second,adult,male,yes,No
second,adult,male,yes,No
second,adult,male,yes,No
second,adult,male,yes,No
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,male,no,Yes
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,yes,No
second,adult,female,no,Yes
second,adult,female,no,Yes
second,adult,female,no,Yes
second,adult,female,no,Yes
second,adult,female,no,Yes
second,adult,female,no,Yes
second,adult,female,no,Yes
second,adult,female,no,Yes
second,adult,female,no,Yes
second,adult,female,no,Yes
second,adult,female,no,Yes
second,adult,female,no,Yes
second,adult,female,no,Yes
second,child,male,yes,No
second,child,male,yes,No
second,child,male,yes,No
second,child,male,yes,No
second,child,male,yes,No
second,child,male,yes,No
second,child,male,yes,No
second,child,male,yes,No
second,child,male,yes,No
second,child,male,yes,No
second,child,male,yes,No
second,child,female,yes,No
second,child,female,yes,No
second,child,female,yes,No
second,child,female,yes,No
second,child,female,yes,No
second,child,female,yes,No
second,child,female,yes,No
second,child,female,yes,No
second,child,female,yes,No
second,child,female,yes,No
second,child,female,yes,No
second,child,female,yes,No
second,child,female,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,yes,No
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,male,no,Yes
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
third,adult,female,yes,No
